,Question,Answer
1041,"Do his works enjoy a broad popular appeal in the United States, where Rockwell is most famous for the cover illustrations of everyday life scenarios he created for The Saturday Evening Post magazine over more than four decades?",yes
1042,"Are among the best-known of Rockwell's works the Willie Gillis series, Rosie the Riveter (although his Rosie was reproduced less than others of the day), Saying Grace (1951), and the Four Freedoms series?",Yes.
1043,Is he also noted for his work for the Boy Scouts of America (BSA)?,yes
1044,Is the octopus a cephalopod?,"Yes, the octopus is a cephalopod."
1045,Is the octopus a cephalopod?,"Yes, the octopus is a cephalopod."
1046,Does the octopus have two eyes?,"Yes, the octopus has two eyes."
1047,Does the octopus have two eyes?,"Yes, the octopus has two eyes."
1048,Does the octopus have a hard beak?,"Yes, the octopus has a hard beak."
1049,Does the octopus have a hard beak?,"Yes, the octopus has a hard beak."
1050,Where is the mouth of an octopus?,The mouth of an octopus is at the center point of the arms.
1051,Where is the mouth of an octopus?,The octopus' mouth is at the center point of the arms.
1052,Around how many recognized octopus species are there?,There are around 300 recognized octopus species.
1053,Around how many recognized octopus species are there?,There are around 300 recognized octopus species.
1054,How many arms does an octopus have?,An octopus has four pairs of arms.
1055,How many arms does an octopus have?,The octopus has four pairs of arms.
1056,What is the range of lifespans of the octopus?,Octopuses can live from six months to five years.
1057,What is the range of lifespans of the octopus?,The octopus has a short lifespan.
1058,What is an example of something an octopus learned in a research experiment?,"In research experiments, octopus can be trained to distinguish between different shapes and patterns."
1059,What is an example of something an octopus learned in a research experiment?,An octopus learned to solve mazes.
1060,How can an octopus defend against predators?,"To defend against predators, an octopus can hide, flee quickly, expel ink, or use color-changing camouflage."
1061,How can an octopus defend against predators?,"They can hide, flee, expel ink, or use camouflage."
1062,Are Octopus highly intelligent?,yes
1063,Do males use a specialized arm called a hectocotylus to insert spermatophores?,Yes
1064,Do the octopuses in the less familiar Cirrina suborder have two fins and an internal shell?,"Yes, the octopuses in the less familiar Cirrina suborder have two fins and an internal shell."
1065,Do octopuses have two eyes and four pairs of arms?,"Yes, octopuses have two eyes and four pairs of arms."
1066,Is octopus a common food in Mediterranean cuisine as well as Portuguese cuisine?,Yes
1067,Is the collective form octopus usually reserved for animals consumed for food?,Yes
1068,"Has an octopus a hard beak, with its mouth at the center point of the arms?",Yes
1069,What happened in 1968 through 1971?,"Devoting his full energies to his work, Picasso became more daring, his works more colorful and expressive, and from 1968 through 1971"
1070,What happened in 1838?,Don José Ruiz y Blasco was born
1071,"Who was not long in finding another lover, Jacqueline Roque?",Picasso.
1072,When did Picasso make his first trip to Paris?,1900
1073,Give an example of the most comprehensive records extant of any major artists beginnings. ,Museu Picasso
1074,Is in the 1996 movie Surviving Picasso Picasso played by actor Anthony Hopkins?,Yes.
1075,Is the U.S. copyright representative for the Picasso Administration the Artists Rights Society?,yes
1076,Is he one of the most recognized figures in 20th-century art?,yes
1077,Is he best known for co-founding the Cubist movement and for the wide variety of styles embodied in his work?,Yes.
1078,"Are among his most famous works the proto-Cubist Les Demoiselles d'Avignon (1907) and Guernica (1937), his portrayal of the German bombing of Guernica during the Spanish Civil War?",Yes.
1079,Are pianos used in Western music?,Yes.
1080,Are pianos used in Western music?,Yes
1081,"Are ""upright pianos"" called ""vertical pianos""?",Yes.
1082,"Are ""upright pianos"" called ""vertical pianos""?",Yes
1083,Did Bartolomeo Cristofori invent the modern piano?,Yes.
1084,Did Bartolomeo Cristofori invent the modern piano?,Yes
1085,What is the middle pedal called on grand pianos?,the sostenuto pedal.
1086,What is the middle pedal called on grand pianos?,sostenuto pedal
1087,How many black keys do modern pianos have?,36.
1088,How many black keys do modern pianos have?,36
1089,What is the sustain pedal called?,The pedal
1090,What is the sustain pedal called?,damper pedal
1091,Where is Irving Berlin's piano located?,In the Smithsonian Museum.
1092,Where is Irving Berlin's piano located?,in the Smithsonian Museum
1093,What kind of piano did Irving Berlin play?,The transposing piano.
1094,What kind of piano did Irving Berlin play?,transposing piano
1095,Is the left-most pedal on a grand piano called the una corda?,yes
1096,Is the left-most pedal on a grand piano called the una corda?,"Yes, the left-most pedal on a grand piano is called the una corda."
1097,Is it advantageous for a grand piano's metal plate to be quite massive?,yes
1098,Is it advantageous for a grand piano's metal plate to be quite massive?,It is advantageous for the plate to be quite massive.
1099,Is the mechanism in an upright piano perpendicular to its keys?,yes
1100,Is the mechanism in an upright piano perpendicular to its keys?,The mechanism in upright pianos is perpendicular to the keys.
1101,About how tall is a typical studio piano?,Studio pianos are around 42 to 45 inches tall.
1102,About how tall is a typical studio piano?,Studio pianos are around 42 to 45 inches tall.
1103,What are a piano's keys generally made of?,Piano keys are generally made of spruce or basswood.
1104,What are a piano's keys generally made of?,Piano keys are generally made of spruce or basswood.
1105,How many total keys does a typical modern piano have?,88 keys.
1106,How many total keys does a typical modern piano have?,A modern piano has 88 keys.
1107,Why are upright pianos more compact?,Upright pianos are more compact because the frame and strings are vertical.
1108,Why are upright pianos more compact?,Upright pianos are more compact because the frame and strings are vertical.
1109,Do older pianos have more keys than modern pianos?,no.
1110,Do older pianos have more keys than modern pianos?,Many older pianos only have 85 keys.
1111,What are the names of a piano's pedals?,"Piano pedals from left to right: una corda, sostenuto, and damper."
1112,What are the names of a piano's pedals?,"The names of a piano's pedals are una corda, sostenuto, and damper."
1113,"What happened in the January 15, 1882?","On January 15, 1882 Renoir met the composer Richard Wagner at his home in Palermo, Sicily."
1114,What happened in 1887?,"In 1887, a year when Queen Victoria celebrated her Golden Jubilee, and upon the request of the queen's associate, Phillip Richbourg, he donated several paintings to the ""French Impressionist Paintings"" catalog as a token of his loyalty."
1115,Is one of the best known Impressionist works Renoirs 1876 Dance at Le Moulin de la Galette?,Yes.
1116,Was Pierre-Auguste Renoir born in Limoges Haute-Vienne France the child of a working class family?,yes
1117,Have two of Renoirs paintings sold for more than US0 million?,Yes (any painting sells for more than $0 million though...)
1118,"As a celebrator of beauty, and especially feminine sensuality, has it been said that ``Renoir is the final representative of a tradition which runs directly from Rubens to Watteau''?",Yes.
1119,"Did Pierre-Auguste Renoir die in Limoges, Haute-Vienne, France, the child of a working class family?",no
1120,"As a boy, did he work in a porcelain factory where his drawing talents led to him being chosen to paint designs on fine china?",yes
1121,Is Portuguese an official language of Andorra?,No
1122,Is Portuguese an official language of Andorra?,"No, Portuguese is not an official language of Andorra."
1123,Does the Portuguese language have its roots in the Latin language?,Yes
1124,Does the Portuguese language have its roots in the Latin language?,"Yes, Portuguese is derived from Latin."
1125,Does Portuguese contain words from the Arabic language?,Yes
1126,Does Portuguese contain words from the Arabic language?,"Yes, Portuguese contains words from the Arabic language."
1127,Where are there small Portuguese-speaking communities?,Former overseas colonies of Portugal such as Macau and East Timor 
1128,Where are there small Portuguese-speaking communities?,There are small Portuguese-speaking communities in Macau and East Timor.
1129,What are the two main groups of Portuguese dialects?,Those of Brazil and those of the Old World
1130,What are the two main groups of Portuguese dialects?,The two main groups of dialects are Brazil and the Old World.
1131,What event marked the end of the Old Portuguese period?,The publication of the Cancioneiro Geral by Garcia de Resende in 1516
1132,What event marked the end of the Old Portuguese period?,The end of the Old Portuguese period was marked by the publication of the Cancioneiro Geral by Garcia de Resende.
1133,Which government established Portuguese as it's third official language in order to meet the requirements to apply for full membership in the CPLP?,Equatorial Guinea
1134,Which government established Portuguese as it's third official language in order to meet the requirements to apply for full membership in the CPLP?,The government of Equatorial Guinea established Portuguese as its third official language in order to meet the requirements to apply for full membership in the CPLP.
1135,"By 2050, what will the total population of Portuguese speakers in the world be?",335 million people
1136,"By 2050, what will the total population of Portuguese speakers in the world be?","By 2050, Portuguese-speaking countries will have a total population of 335 million people."
1137,In which country is Portuguese the co-official language with Cantonese Chinese?,Macau
1138,In which country is Portuguese the co-official language with Cantonese Chinese?,Portuguese is the co-official language with Cantonese Chinese in Macau.
1139,Wasn't Portuguese language spread by arriving Roman soldiers?,Yes.
1140,"(where French has a similar phenomenon, with alveolar affricates instead of postalveolars?",Quebec.
1141,"Give an example of the official languages of the special administrative region of Macau and East Timor, . ",Portuguese
1142,Is Portuguese an official language of several international organizations?,Yes.
1143,"Is it derived from the Latin spoken by the romanized pre-Roman peoples of the Iberian Peninsula (namely the Gallaeci, the Lusitanians, the Celtici and the Conii) around 2000 years ago?",yes
1144,Was it used as the exclusive lingua franca on the island of Sri Lanka for almost 350 years?,yes
1145,Is the city named after the apostle Saint Peter?,yes
1146,Is the city named after the apostle Saint Peter?,Yes.
1147,Has the terrain in the city been artificially raised?,yes
1148,Has the terrain in the city been artificially raised?,Yes.
1149,What were some other names of the city?,"Petrograd, Leningrad, and Piter"
1150,What were some other names of the city?,Petrograd and Leningrad.
1151,What festival features fireworks  celebrating the end of the school year?,The White Nights Festival in Saint Petersburg
1152,What festival features fireworks  celebrating the end of the school year?,The White Nights Festival.
1153,Where do most people in urban Saint Petersburg live?,apartments
1154,Where do most people in urban Saint Petersburg live?,Apartments.
1155,What was made in Russia's largest foundry?,thousands of sculptures and statues
1156,What was made in Russia's largest foundry?,Thousands of sculptures and statues.
1157,When did the crime level become higher?,After the October revolution.
1158,How to travel to work from the city to Moscow?,railway
1159,How to travel to work from the city to Moscow?,One way is through the Moscow-Saint Petersburg Railway.
1160,Who laid down the Peter and Paul Fortress?,Peter the Great 
1161,When was the 7th symphony premiered?,1942
1162,"Has Equestrianism been a long tradition, popular among the Tsars and aristocracy?",yes
1163,"Give an example of the largest stadiums anywhere in the world, and the home to FC Zenit St. Petersburg in 1950-1993 and 1995. ","Kirov Stadium (now demolished) was one of the largest stadiums anywhere in the world, and the home to FC Zenit St. Petersburg in 1950-1993 and 1995."
1164,Give an example of the best known symphony orchestras in the world under the leadership of conductors Yevgeny Mravinsky and Yuri Temirkanov. ,The Leningrad Philharmonic Orchestra
1165,"Give an example of the longest, most destructive, and most lethal sieges of major cities in modern history. ",The Siege of Leningrad
1166,"Were the city's other names Petrograd (, 1914 -- 1924) and Leningrad (, 1924 -- 1991)?",yes
1167,Is it often called just Petersburg (-RRB- and is informally known as Piter (-RRB-?,Yes
1168,"Founded by Tsar Peter I of Russia on 27 May 1703, was it the capital of the Russian Empire for more than two hundred years (1713 -- 1728, 1732 -- 1918)?",Yes.
1169,Is the standard of living in San Franciscio high?,"Yes, San Francisco is characterized by a high standard of living."
1170,Is the standard of living in San Franciscio high?,Yes
1171,Does San Francisco have a high percentage of gay and lesbian individuals?,"Yes, according to the 2005 American Community Survey, San Francisco has the highest percentage of gay and lesbian individuals of any of the 50 largest U.S. cities, at 15.4%."
1172,Does San Francisco have a high percentage of gay and lesbian individuals?,Yes
1173,Is San Franscico a popular tourist destination?,Yes. San Francisco is a popular international tourist destination.
1174,Is San Franscico a popular tourist destination?,Yes
1175,How large is the population of San Francisco?,"The estimated population of San Francisco in the year 2008 was 808,976."
1176,How large is the population of San Francisco?,"San Francisco has an estimated population of 808,976."
1177,How many state parks are in San Francisco?,There is only one park managed by the California State Park system: Candlestick Point.
1178,How many state parks are in San Francisco?,There is one state park in San Francisco.
1179,Where is San Francisco?,San Francisco is located on the West Coast of the United States at the tip of the San Francisco Peninsula.
1180,Where is San Francisco?,San Francisco is in California.
1181,What is the cause of local earthquakes?,It was the San Andreas Fault which slipped and caused the earthquakes in 1906 and 1989.
1182,What is the cause of local earthquakes?,The nearby San Andreas and Hayward Faults are responsible for much earthquake activity.
1183,Are more residents employed by small businesses than in 1977?,"The number of San Franciscans employed by firms of more than 1,000 employees has fallen by half since 1977."
1184,Are more residents employed by small businesses than in 1977?,No
1185,How does poverty in San Francisco compare to the nation-wide average?,"The city's poverty rate is 11.8% and the number of families in poverty stands at 7.4%, both lower than the national average."
1186,How does poverty in San Francisco compare to the nation-wide average?,San Francisco's poverty rate is lower than the national average.
1187,Was Mission Bay campus opened in 2003,yes
1188,Was Mission Bay campus opened in 2003,Yes
1189,Was the University of San Fransisco founded in 1855,yes
1190,Is Golden Gate Park the largest city park,yes
1191,Is Golden Gate Park the largest city park,Yes
1192,What is Northern California's most widely circulated newspaper,San Francisco Chronicle
1193,What is Northern California's most widely circulated newspaper,San Francisco Chronicle
1194,What makes San Francisco among the top-ten North American destinations for conventions and conferences,San Francisco has a large hotel infrastructure and a world-class convention facility in the Moscone Center
1195,What makes San Francisco among the top-ten North American destinations for conventions and conferences,a large hotel infrastructure and a world-class convention facility in the Moscone Center
1196,Who manages Candlestick point,California State Park system
1197,Who manages Candlestick point,the California State Park system
1198,Is Crissy field an airfield,Yes
1199,Does the de Young museum house the Asian Art Museum,yes
1200,Does the de Young museum house the Asian Art Museum,No
1201,What prompted the city to upgrade its building codes,earthquakes
1202,What prompted the city to upgrade its building codes,The threat of major earthquakes
1203,"Like many larger where cities, San Francisco is a minority-majority city, as non-Hispanic whites comprise less than half of the population?",U.S.
1204,Who laid out a street plan for the expanded S10_settlement?,William Richardson and Alcalde Francisco de Haro.
1205,When was a 43-acre Mission Bay campus opened?,2003
1206,When did it sign on the air?,In 1941.
1207,Give an example of the largest two-year community colleges in the country. ,The City College of San Francisco.
1208,Give an example of the ten Beta World Cities. ,San Trancisco
1209,"The only consolidated city-county in California, does it encompass a land area of on the northern end of the San Francisco Peninsula, making it the second most densely populated city in the United States?",San Francisco
1210,"Is San Francisco also the financial, cultural, and transportation center of the larger San Francisco Bay Area, a region of 7.4 million people?",yes
1211,In what year did the Spanish establish a fort at the Golden Gate and a mission named for Francis of Assisi on the site?,"In 1776, the Spanish established a fort at the Golden Gate and a mission named for Francis of Assisi on the site."
1212,Does Swahili have dipthongs?,"Yes, Swahili has diphthongs. (Typo)"
1213,Is Swahili a Bantu language?,"Yes, Swahili is a Bantu language."
1214,Is Swahili a Bantu language?,yes
1215,Did Uganda make Swahili a required subject in primary schools?,"Yes, Uganda made Swahili a required subject in primary schools."
1216,Did Uganda make Swahili a required subject in primary schools?,yes
1217,What is the Swahili word for the Swahili language?,Kiswahili is the Swahili word for the Swahili language.
1218,What is the Swahili word for the Swahili language?,Kiswahili
1219,Is Swahili spoken in Mozambique?,"Yes, Swahili is spoken in parts of northern Mozambique."
1220,Is Swahili spoken in Mozambique?,yes
1221,How does Swahili time run?,Swahili time runs from dawn to dusk.
1222,How does Swahili time run?,from dawn to dusk
1223,How many noun classes does Swahili have?,Swahili has sixteen noun classes.
1224,How many noun classes does Swahili have?,sixteen
1225,In what year did Germany seize Tanganyika?,Germany seized Tanganyika in 1886.
1226,In what year did Germany seize Tanganyika?,1886
1227,Which is the sub-Saharan indigenous language with the greatest number of speakers?,Hausa of West Africa is the sub-Saharan indigenous language with the greatest number of speakers.
1228,Which is the sub-Saharan indigenous language with the greatest number of speakers?,Hausa
1229,Is Swedish a descendant of Old Norse?,Yes.
1230,Is Swedish a descendant of Old Norse?,Yes
1231,Does Swedish use the perfect participle to form the present perfect tense?,No.
1232,Does Swedish use the perfect participle to form the present perfect tense?,No
1233,How many Swedish speakers were reported in Canada in 2001?,"16,915."
1234,How many Swedish speakers were reported in Canada in 2001?,"There are 16,915 reported Swedish speakers in Canada."
1235,How many letters are in the basic Latin alphabet?,26.
1236,How many letters are in the basic Latin alphabet?,26
1237,When did a standard and common language become available to all Swedes?,In the 20th Century.
1238,When did a standard and common language become available to all Swedes?,"It was during the 20th century that a common, standardized national language became available to all Swedes."
1239,When did the Soviet military forces occupy Estonia?,1944.
1240,When did the Soviet military forces occupy Estonia?,In 1944.
1241,What are the differences between English and Swedish pronouns?,"Swedish pronouns are basically the same as those of English but distinguish two genders and have an additional object form, derived from the old dative form, as well as a distinct genitive case."
1242,How does Swedish language counterbalance the absence of cases?,The lack of cases in Swedish is compensated by a wide variety of prepositions.
1243,Is Taipei in a valley?,Taipei is in the valleys of the Keelung and Xindian Rivers
1244,Is Taipei in a valley?,Yes
1245,Was Taipei founded in the 18th century?,Yes
1246,Was Taipei founded in the 18th century?,Yes
1247,Is the National Palace Museum in Taipei?,Yes
1248,Is the National Palace Museum in Taipei?,Yes
1249,What is along the city's western border?,The Danshui River borders Taipei to the west.
1250,What is along the city's western border?,Taipei has the Danshui River along its western border.
1251,What is Taipei 101?,Taipei 101 is a 101-floor landmark skyscraper.
1252,What is Taipei 101?,Taipei 101 is a 101-floor landmark skyscraper.
1253,What are some annual festivals in Taipei?,"The Lantern Festival, Tomb-Sweeping Day, Dragon Boat Festival, and the Mid-Autumn Festival"
1254,What are some annual festivals in Taipei?,"Some annual festivals include Tomb-Sweping Day, the Dragon Boat Festival, the Ghost Festival, and the Mid-Autumn Festival."
1255,When is the Pacific typhoon season?,Between June and October.
1256,When is the Pacific typhoon season?,It's between June and October.
1257,Who S10_sets up shrines?,Many homes and business S10_set up shrines.
1258,Who S10_sets up shrines?,Many homes and businesses would S10_set up shrines.
1259,What does Taipei produce?,Taipei produces high technology and hi-tech components
1260,What does Taipei produce?,"Taipei produces textiles, apparel, electronics, machinery, printed materials, precision equipment, food, and beverages."
1261,Is the trumpet the musical instrument with the highest register in the brass family?,Yes
1262,Is the trumpet the musical instrument with the highest register in the brass family?,Yes
1263,Is a trumpet played by blowing air through closed lips?,Yes
1264,Is a trumpet played by blowing air through closed lips?,yes
1265,Is the most common type of trumpet the B trumpet?,Yes
1266,Is the most common type of trumpet the B trumpet?,yes
1267,What is the earliest date of the trumpet?,1500 BC
1268,What is the earliest date of the trumpet?,around 1500 BC
1269,What is a trumpet constructed of?,brass tubing
1270,What is a trumpet constructed of?,brass tubing bent twice into an oblong shape
1271,What are the smallest trumpets referred to as?,Piccolo trumpets
1272,What are the smallest trumpets referred to as?,piccolo trumpets
1273,"Why do trumpets have a bright, loud sound?",The trumpet and trombone share a roughly cylindrical bore.
1274,"Why do trumpets have a bright, loud sound?",Due to the cylindrical bore
1275,Why does the cornet have a slightly mellower tone than the trumpet?,The cornet and flugelhorn have conical bores
1276,Why does the cornet have a slightly mellower tone than the trumpet?,because it has conical bores
1277,What makes a trumpet fully chromatic?,able to play all twelve pitches of Western music
1278,Were trumpet players heavily guarded?,yes
1279,Were trumpet players heavily guarded?,yes
1280,Are pocket trumpets compact B trumpets?,yes
1281,Are pocket trumpets compact B trumpets?,yes
1282,Was Dizzy Gillespie a famous trumpeter in 1998?,no
1283,What shape is a trumpet bent into?,oblong
1284,What shape is a trumpet bent into?,an oblong shape
1285,What trumpet was the first to be allowed in the Christian Church?,slide trumpets
1286,What trumpet was the first to be allowed in the Christian Church?,Slide trumpets
1287,The trumpet can be confused with what close relative?,the cornet
1288,The trumpet can be confused with what close relative?,the coronet
1289,What can be augmented with a fourth valve?,the flugelhorn
1290,What can be augmented with a fourth valve?,flugelhorn
1291,What was Maynard Ferguson noted for being able to play accurately?,yes
1292,What was Maynard Ferguson noted for being able to play accurately?,yes
1293,What was built to play in both B and A keys?,piccolo trumpets
1294,What was built to play in both B and A keys?,piccolo trumpets
1295,What happened in 1894?,"Jean-Baptiste Arban published ""Complete Conservatory Method for Trumpet."""
1296,What happened in nineteen fifty seven?,Maynard Ferguson formed his own band.
1297,Is the Breeze Eazy' ' method sometimes used to teach younger students?,Yes.
1298,Do many players use a smaller mouthpiece on the piccolo trumpet?,Yes
1299,Is the trumpet constructed of brass tubing bent twice into an oblong shape?,yes
1300,Give an example of the most influential musicians of the 20th century. ,Miles Davis
1301,Were Slide trumpets the first trumpets allowed in the Christian church?,Slide trumpets were the first trumpets allowed in the Christian church. 
1302,"Are they constructed of brass tubing bent twice into an oblong shape, and are played by blowing air through closed lips, producing a ``buzzing'' sound which starts a standing wave vibration in the air column inside the trumpet?",Yes
1303,Are there several types of trumpet?,yes
1304,Was the Ottoman script replaced with a variant of the Latin alphabet?,Yes.
1305,Was the Ottoman script replaced with a variant of the Latin alphabet?,Yes
1306,Is there a definite article in Turkish language?,No.
1307,Is there a definite article in Turkish language?,No
1308,Is it possible to alter the word order to stress the importance of a certain phrase?,Yes.
1309,Is it possible to alter the word order to stress the importance of a certain phrase?,Yes
1310,What is the official language of Turkey?,Turkish.
1311,What is the official language of Turkey?,Turkish is the official language of Turkey.
1312,When was the Turkish Language Association founded?,In 1928.
1313,When was the Turkish Language Association founded?,The Turkish Language Association was founded in 1932.
1314,What are the most significant foreign contributors to Turkish vocabulary?,"Among the most significant foreign contributors to Turkish vocabulary are Arabic, French, Persian, Italian, English, and Greek. "
1315,Who were the Orkhon inscriptions built for?,For the prince Kul Tigin and his brother Emperor Bilge Khan.
1316,Who were the Orkhon inscriptions built for?,The Orkhon inscriptions were erected in honour of the prince Kul Tigin and his brother Emperor Bilge Khan.
1317,What was one of the results of the introduction of the new Turkish alphabet?,A dramatic increase in literacy from Third World levels.
1318,What was one of the results of the introduction of the new Turkish alphabet?,There was a dramatic increase in literacy from its original Third World levels.
1319,"Why does Lewis use ""absolute case"" instead of ""nominative""?",Because it is also used for the indefinite accusative.
1320,"Why does Lewis use ""absolute case"" instead of ""nominative""?",Because it is also used for the indefinite accusative.
1321,How many people speak Turkish worldwide?,There are roughly another 10 million native speakers worldwide.
1323,"In Turkish, which syllable usually has the stress?",Stress is usually on the last syllable
1325,Is the spelling of Turkish phonetic?,"yes, Turkish now has an alphabet suited to the sounds of the language: the spelling is largely phonetic, with one letter corresponding to each phoneme."
1327,What percentage of the words in Turkish vocabulary have Turkish origins?,86% of the Turkish vocabulary have Turkish origins.
1329,After what event was the Turkish Language Association established?,"After the foundation of the Republic of Turkey and the script reform, the Turkish Language Association (TDK) was established in 1932."
1331,What exception to the rules of vowel harmony do compound words have?,"In compound words, the vowels need not harmonize between the constituent words of the compound."
1334,What are the patterns of vowel harmony?,Vowels are characterised by two features: front/back and rounded/unrounded.
1336,What are the ways to join groups of nouns?,"Two nouns, or groups of nouns, may be joined in either of two ways: definite or indefinite."
1338,Does Vietnamese have a comparatively large number of vowels?,Yes.
1339,Is Vietnamese the mother tongue of the Vietnamese people?,Yes
1340,Is Vietnamese the mother tongue of the Vietnamese people?,Yes.
1341,Is Vietnamese the official administrative language of Vietnam?,Yes
1342,Is Vietnamese the official administrative language of Vietnam?,Yes.
1343,Was Vietnamese influenced by Chinese?,Much vocabulary has been borrowed from Chinese.
1344,Was Vietnamese influenced by Chinese?,Yes.
1345,When did written Vietnamese become the official administrative language?,the 20th century
1346,When did written Vietnamese become the official administrative language?,Vietnamese became the official administrative language by the 20th century.
1347,Have consonant clusters been lost?,Yes
1348,Have consonant clusters been lost?,Yes.
1349,Is the Red River Delta traditionally poor?,"Not compared to Nghe An, Ha Tinh, or Quang Binh"
1350,Is the Red River Delta traditionally poor?,Yes.
1351,What kind of words have been borrowed from Chinese?,Words that denote abstract ideas in the same way European languages borrow form Latin and Greek.
1352,What kind of words have been borrowed from Chinese?,Vietnamese adopts words from Chinese which express abstract ideas.
1353,Is Vietnam independent from France?,Yes.
1354,Was Vietnamese formally written using the Chinese writing system?,"Yes, Vietnamese was *formerly* written using the Chinese writing system."
1356,Does Vietnamese have a large number of vowels?,"Yes, Vietnamese has a comparatively large number of vowels."
1359,What are the three dialect regions of Vietnamese?,"The three regions are North, Central, and South."
1361,When was the reunification of Vietnam?,The reunification of Vietnam occurred in 1975-76.
1363,How many tones do Northern varieties have?,Northern Vietnamese has six tones.
1365,Does Vietnamese borrow from Latin and Greek?,"No, Vietnamese does not borrow from Latin and Greek."
1367,Did Vietnamese come to predominate politically in 2nd century BC?,"No, Chinese came to predominate politically in the 2nd century B.C."
1369,Do more northern speakers speak the southern regional dialect than southern speakers speak the northern dialect?,More southern speakers speak the northern dialect than northerners speak the suthern dialect.
1371,What happened in 1860?,Vincent van Gogh attended the Zundert village school from 1860.
1372,Who frequented the circle of the British-Australian artist John Peter Russell?,Van Gogh
1373,Were the letters first annotated in 1913 by Theos widow Johanna van Gogh-Bonger?,yes
1374,Was Kee seven years older than Van Gogh as well as had an eight-year-old son?,Yes.
1375,"Did he suffer from anxiety and increasingly frequent bouts of mental illness throughout his life, and died largely unknown, at the age of 37, from a self-inflicted gunshot wound?",Yes.
1376,"Appreciated during his lifetime, did his fame grow in the years after his death?",yes
1377,"Is today, he widely regarded as one of history's greatest painters and an important contributor to the foundations of modern art?",Yes
1378,Does a violin have four strings?,Yes
1379,Does a violin have four strings?,Yes
1380,Is the violin supported by the left shoulder?,Yes
1381,Is the violin supported by the left shoulder?,Yes.
1382,Is the violin shaped like an hourglass?,Yes
1383,Is the violin shaped like an hourglass?,Yes.
1384,What were strings first made out of?,Sheep Gut
1385,What were strings first made out of?,Sheep gut.
1386,What is a violin called informally?,Fiddle
1387,What is a violin called informally?,A fiddle.
1388,What does vitula mean?,Stringed Instrument
1389,What does vitula mean?,Stringed instrument.
1390,What is a person that makes or repairs violins called?,Luthier
1391,What is a person that makes or repairs violins called?,"A luthier, or simply a violin maker."
1392,"What does the ""voice"" of a violin depend upon?",Shape
1393,"What does the ""voice"" of a violin depend upon?",Its shape.
1394,Is the violin a percussion instrument?,Yes
1395,What happened in 1980s?,The use of traditional (non-synthesized) orchestras declined.
1396,Who features violinist Boyd Tinsley?,Dave Matthews Band features violinist Boyd Tinsley.
1397,"Regarding this topic, what did Antonio Stradivari do?",Antonio Stradivari made violins.
1398,When did Charles IX order Amati to construct 24 violins for him?,1560
1399,Is a string first tuned to a standard pitch?,Yes.
1400,Is each node at an integer division of the string?,Yes.
1401,Is the tuning G-D-A-E used for most violin music?,Yes
1402,"Is it the smallest and highest-pitched member of the violin family of string instruments, which also includes the viola and cello?","Yes, it is the smallest and highest-pitched member of the violin family of string instruments, which also includes the viola and cello."
1403,"Is a violin sometimes informally called a fiddle, regardless of the type of music played on it?",Yes.
1404,"Does the word ``violin'' come from the Middle Latin word vitula, meaning ``stringed instrument''?",Yes.
1423,Is the xylophone a musical instrument?,yes
1424,Is the xylophone a musical instrument?,Yes.
1425,Was the xylophone associated with the folk music of the United States by the 19th century?,no
1426,Was the xylophone associated with the folk music of the United States by the 19th century?,No.
1427,Was it likely that the xylophone reached Europe during the Crusades?,yes
1428,Was it likely that the xylophone reached Europe during the Crusades?,Yes.
1429,The xylophone is an instrument from what family?,the percussion family
1430,The xylophone is an instrument from what family?,Percussion
1431,How do the Java and Bali use xylophones?,In gamelan ensembles
1432,Some versions of xylophones have resonators made of what?,gourds
1433,Some versions of xylophones have resonators made of what?,Gourds.
1434,"Which came first, the xylophone or the vibraphone?",xylophone
1435,"Which came first, the xylophone or the vibraphone?",The xylophone.
1436,Did the golden age of xylophones come before or after the first usage of the European-derived orchestral?,after
1437,Did the golden age of xylophones come before or after the first usage of the European-derived orchestral?,After.
1438,Does kelon increase or decrease tone quality of the xylophone?,no
1439,Does kelon increase or decrease tone quality of the xylophone?,Decrease.
1440,Do the different species of zebras interbreed?,no
1441,Do the different species of zebras interbreed?,No
1442,Do zebras sleep standing up?,yes
1443,Do zebras sleep standing up?,Yes
1444,Have plains zebras been crossed with mountain zebras?,yes
1445,Have plains zebras been crossed with mountain zebras?,Yes
1446,How many species of zebra are there?,three
1447,How many species of zebra are there?,Three
1448,What do zebras eat?,mainly grass
1449,What do zebras eat?,"Grasses, shrubs, herbs, twigs, leaves, and bark"
1450,What are zebras hunted for?,mainly for their skins
1451,What are zebras hunted for?,Skins
1452,What areas do the Grevy's Zebras inhabit?,semi-arid grasslands of Ethiopia and northern Kenya
1454,Which species of zebra is known as the common zebra?,"Plains Zebra (Equus quagga, formerly Equus burchelli)"
1455,Which species of zebra is known as the common zebra?,Plains Zebra
1456,At what age can a zebra breed?,five or six
1457,At what age can a zebra breed?,5 or 6
